Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rs2,cp_rd,cp_rs2_edges,cmp_rs1_rs2,cmp_rd_rs1,cmp_rd_rs2,cmp_rd_rs1_rs2,cp_align
amoadd.b,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0
amoadd.h,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,hword
amoand.b,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0
amoand.h,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,hword
amomax.b,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0
amomax.h,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,hword
amomaxu.b,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0
amomaxu.h,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,hword
amomin.b,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0
amomin.h,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,hword
amominu.b,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0
amominu.h,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,hword
amoor.b,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0
amoor.h,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,hword
amoswap.b,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0
amoswap.h,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,hword
amoxor.b,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0
amoxor.h,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,hword
